"PLAKA","VALIDATORNO","SKPVARMI","SKPSERINO"
"U3914","6,734","1","775"
"DB4784","7,547","1",""
"DB4218","6,735","0",""
"FE668","6,736","1","3942"
"V3452","6,723","0",""
"DB3483","6,724","0",""
"BKJ29","6,725","1","3367"
"HN378","6,737","1","773"
"FE836","6,738","1","776"
"EE476","6,739","1","785"
"DD1612","6,740","0",""
"Y2399","6,741","",""
"RC913","6,742","1","786"
"RV229","6,743","",""
"RV212","6,744","0",""
"PE332","6,745","1","778"
"RV232","6,746","1","657"
"DA4032","6,747","0","821"
"DA7787","6,748","0",""
"DB3280","6,749","0",""
"EMN38","6,750","0",""
"UE834","6,751","",""
"RC915","6,752","1","781"
"DA7806","7,661","1",""
"PE379","6,753","1","774"
"DA7550","6,754","0",""
"EL285","6,755","1","3636"
"P6073","6,756","1","493"
"EE516","6,757","1","423"
"DB6476","6,759","0",""
"DB3473","6,760","0","351"
"FD502","6,761","",""
"Y0559","6,762","1","445"
"UE836","6,763","1","469"
"DB4607","6,764","0",""
"EE499","6,768","1","3656"
"EK450","6,769","1","3153"
"DD1620","6,770","0",""
"U7708","6,771","1","3631"
"DA3704","6,772","1","984"
"DB5369","6,773","0",""
"ADD345","6,774","0",""
"DB5264","6,775","0",""
"ADD338","6,776","0",""
"DB5367","6,777","0",""
"CO DC4685","9,527","0",""
"CO3 RC891","9,574","0",""
"PV245","6,778","1","516"
"DB6224","6,779","0",""
"DA5759","6,780","0",""
"ELK91","6,781","1","3130"
"PV249","6,782","1","486"
"PV316","6,783","0",""
"R4732","6,784","1","467"
"EK223","6,785","1","345"
"ELK92","6,765","1","424"
"DA3698","6,766","0",""
"ELK96","6,767","1","3306"
"Y0486","6,791","1",""
"EL289","6,792","1","504"
"V2188","6,793","1","3669"
"ED659","6,794","1","3663"
"EE498","6,795","0",""
"EMN36","6,796","1","393"
"EFH48","6,797","1","3742"
"EE448","6,798","1","3351"
"HN356","6,799","1",""
"VZ314","6,800","0",""
"SE627","9,407","",""
"DD1611","6,801","0",""
"DA7552","6,802","1",""
"Y2416","6,803","1","392"
"Y2398","6,804","0",""
"DB5983","6,805","0",""
"CNF83","6,806","1","638"
"ED658","6,807","1","3664"
"UC623","6,808","1","386"
"P3056","6,786","1","514"
